filename,class,brand,category,style,color,material,fashion,sku
dior_fw23_05,04_embroidered,dior,tops,04_embroidered_style,beige,cashmere,embroidered,sweater
dior_fw23_05,04_floral,dior,tops,04_floral_style,beige,cashmere,floral,sweater
dior_fw23_05,04_beige,dior,tops,04_beige_color,beige,cashmere,embroidered,sweater
dior_fw23_05,04_cashmere,dior,tops,04_cashmere_material,beige,cashmere,embroidered,sweater
dior_fw23_05,04_cotton,dior,tops,04_cotton_material,beige,cotton,embroidered,sweater
dior_fw23_05,04_shirt,dior,tops,04_shirt_sku,beige,cashmere,embroidered,shirt
dior_fw23_05,04_blue,dior,tops,04_blue_color,blue,cashmere,embroidered,sweater
dior_fw23_05,04_striped,dior,tops,04_striped_style,beige,cashmere,striped,sweater
dior_fw23_05,07_skirt,dior,bottoms,07_skirt_sku,beige,wool,,skirt
dior_fw23_05,07_beige,dior,bottoms,07_beige_color,beige,wool,,skirt
dior_fw23_05,07_wool,dior,bottoms,07_wool_material,beige,wool,,skirt
dior_fw23_05,09_boot,dior,shoes,09_boots_sku,brown,leather,hightop,boots
dior_fw23_05,09_brown,dior,shoes,09_brown_color,brown,leather,hightop,boots
dior_fw23_05,09_leather,dior,shoes,09_leather_material,brown,leather,hightop,boots
dior_fw23_05,09_hightop,dior,shoes,09_hightop_style,brown,leather,hightop,boots
loewe_fw23_27,04_coat,loewe,tops,04_coat_sku,silver,metallic,,coat
loewe_fw23_27,04_silver,loewe,tops,04_silver_color,silver,metallic,,coat
loewe_fw23_27,04_metallic,loewe,tops,04_metallic_material,silver,metallic,,coat
loewe_fw23_27,07_shorts,loewe,bottoms,07_shorts_sku,brown,silk,,shorts
loewe_fw23_27,07_brown,loewe,bottoms,07_brown_color,brown,silk,,shorts
loewe_fw23_27,07_silk,loewe,bottoms,07_silk_material,brown,silk,,shorts
loewe_fw23_27,09_boot,loewe,shoes,09_boots_sku,black,velours,,boots
loewe_fw23_27,09_black,loewe,shoes,09_black_color,black,velours,,boots
loewe_fw23_27,09_velours,loewe,shoes,09_velours_material,black,velours,,boots
dior_fw23_35,4a_coat,dior,outerwear,4a_coated_style,grey,wool,coated,
dior_fw23_35,4a_tailoring,dior,outerwear,4a_tailoring_style,grey,wool,tailoring,
dior_fw23_35,4a_grey,dior,outerwear,4a_grey_color,grey,wool,coated,
dior_fw23_35,4a_wool,dior,outerwear,4a_wool_material,grey,wool,coated,
dior_fw23_35,04_sheer,dior,tops,04_sheer_style,white,cotton,sheer,
dior_fw23_35,04_white,dior,tops,04_white_color,white,cotton,sheer,
dior_fw23_35,04_striped,dior,tops,04_striped_style,white,cotton,striped,
dior_fw23_35,04_cotton,dior,tops,04_cotton_material,white,cotton,sheer,
dior_fw23_35,04_wool,dior,tops,04_wool_material,white,wool,sheer,
dior_fw23_35,07_skirt,dior,bottoms,07_skirt_sku,grey,,,skirt
dior_fw23_35,07_grey,dior,bottoms,07_grey_color,grey,,,skirt
dior_fw23_35,09_boot,dior,shoes,09_boots_sku,black,leather,hightop,boots
dior_fw23_35,09_black,dior,shoes,09_black_color,black,leather,hightop,boots
dior_fw23_35,09_hightop,dior,shoes,09_hightop_style,black,leather,hightop,boots
dior_fw23_35,09_leather,dior,shoes,09_leather_material,black,leather,hightop,boots
loewe_fw23_03,4a_coat,loewe,outerwear,4a_coated_style,brown,wool,coated,
loewe_fw23_03,4a_brown,loewe,outerwear,4a_brown_color,brown,wool,coated,
loewe_fw23_03,4a_wool,loewe,outerwear,4a_wool_material,brown,wool,coated,
loewe_fw23_03,4a_oversized,loewe,outerwear,4a_oversized_style,brown,wool,oversized,
loewe_fw23_03,09_boot,loewe,shoes,09_boots_sku,black,leather,,boots
loewe_fw23_03,09_black,loewe,shoes,09_black_color,black,leather,,boots
loewe_fw23_03,09_leather,loewe,shoes,09_leather_material,black,leather,,boots
dior_fw23_06,4a_coat,dior,outerwear,4a_coated_style,grey,wool,coated,
dior_fw23_06,4a_wool,dior,outerwear,4a_wool_material,grey,wool,coated,
dior_fw23_06,4a_grey,dior,outerwear,4a_grey_color,grey,wool,coated,
dior_fw23_06,4a_cutout,dior,outerwear,4a_cutout_style,grey,wool,cutout,
dior_fw23_06,4a_oversized,dior,outerwear,4a_oversized_style,grey,wool,oversized,
dior_fw23_06,04_cotton,dior,tops,04_cotton_material,white,cotton,striped,shirt
dior_fw23_06,04_shirt,dior,tops,04_shirt_sku,white,cotton,striped,shirt
dior_fw23_06,04_white,dior,tops,04_white_color,white,cotton,striped,shirt
dior_fw23_06,04_striped,dior,tops,04_striped_style,white,cotton,striped,shirt
dior_fw23_06,07_grey,dior,bottoms,07_grey_color,grey,silk,,pants
dior_fw23_06,07_silk,dior,bottoms,07_silk_material,grey,silk,,pants
dior_fw23_06,07_pants,dior,bottoms,07_pants_sku,grey,silk,,pants
dior_fw23_06,09_sneaker,dior,shoes,09_sneaker_sku,black,rubber,,sneaker
dior_fw23_06,09_black,dior,shoes,09_black_color,black,rubber,,sneaker
dior_fw23_06,09_rubber,dior,shoes,09_rubber_material,black,rubber,,sneaker
givenchy_fw23_41,04_sweatshirt,givenchy,tops,04_sweatshirt_sku,black,wool,distressed,sweatshirt
givenchy_fw23_41,04_black,givenchy,tops,04_black_color,black,wool,distressed,sweatshirt
givenchy_fw23_41,04_wool,givenchy,tops,04_wool_material,black,wool,distressed,sweatshirt
givenchy_fw23_41,04_cotton,givenchy,tops,04_cotton_material,black,cotton,distressed,sweatshirt
givenchy_fw23_41,04_distressed,givenchy,tops,04_distressed_style,black,wool,distressed,sweatshirt
givenchy_fw23_41,07_pants,givenchy,bottoms,07_pants_sku,black,cotton,cutout,pants
givenchy_fw23_41,07_cotton,givenchy,bottoms,07_cotton_material,black,cotton,cutout,pants
givenchy_fw23_41,07_black,givenchy,bottoms,07_black_color,black,cotton,cutout,pants
givenchy_fw23_41,07_cutout,givenchy,bottoms,07_cutout_style,black,cotton,cutout,pants
givenchy_fw23_41,09_boot,givenchy,shoes,09_boots_sku,black,rubber,,boots
givenchy_fw23_41,09_black,givenchy,shoes,09_black_color,black,rubber,,boots
givenchy_fw23_41,09_rubber,givenchy,shoes,09_rubber_material,black,rubber,,boots
dior_fw23_40,4a_coat,dior,outerwear,4a_coated_style,,,coated,
dior_fw23_40,04_grey,dior,tops,04_grey_color,grey,wool,,
dior_fw23_40,04_wool,dior,tops,04_wool_material,grey,wool,,
dior_fw23_40,07_skirt,dior,bottoms,07_skirt_sku,black,cotton,,skirt
dior_fw23_40,07_black,dior,bottoms,07_black_color,black,cotton,,skirt
dior_fw23_40,07_cotton,dior,bottoms,07_cotton_material,black,cotton,,skirt
dior_fw23_40,09_boot,dior,shoes,09_boots_sku,black,,logo,boots
dior_fw23_40,09_logo,dior,shoes,09_logo_style,black,,logo,boots
dior_fw23_40,09_black,dior,shoes,09_black_color,black,,logo,boots
dior_fw23_40,09_hightop,dior,shoes,09_hightop_style,black,,hightop,boots
saint_laurent_fw23_16,09_boot,saint_laurent,shoes,09_boots_sku,black,leather,,boots
saint_laurent_fw23_16,09_leather,saint_laurent,shoes,09_leather_material,black,leather,,boots
saint_laurent_fw23_16,09_black,saint_laurent,shoes,09_black_color,black,leather,,boots
saint_laurent_fw23_16,07_pants,saint_laurent,bottoms,07_pants_sku,black,wool,,pants
saint_laurent_fw23_16,04_knitwear,saint_laurent,tops,04_knitwear_sku,black,silk,,knitwear
saint_laurent_fw23_16,02_sunglasses,saint_laurent,eyewear,02_sunglasses_sku,,,,sunglasses
saint_laurent_fw23_16,07_black,saint_laurent,bottoms,07_black_color,black,wool,,pants
saint_laurent_fw23_16,07_wool,saint_laurent,bottoms,07_wool_material,black,wool,,pants
saint_laurent_fw23_16,04_silk,saint_laurent,tops,04_silk_material,black,silk,,knitwear
saint_laurent_fw23_16,04_black,saint_laurent,tops,04_black_color,black,silk,,knitwear
givenchy_fw23_07,04_t-shirt,givenchy,tops,04_t-shirt_sku,black,cotton,,t-shirt
givenchy_fw23_07,04_black,givenchy,tops,04_black_color,black,cotton,,t-shirt
givenchy_fw23_07,04_cotton,givenchy,tops,04_cotton_material,black,cotton,,t-shirt
givenchy_fw23_07,07_shorts,givenchy,bottoms,07_shorts_sku,black,leather,,shorts
givenchy_fw23_07,07_leather,givenchy,bottoms,07_leather_material,black,leather,,shorts
givenchy_fw23_07,07_black,givenchy,bottoms,07_black_color,black,leather,,shorts
givenchy_fw23_07,07_cartgo,givenchy,bottoms,04_vest_sku,black,leather,,vest
givenchy_fw23_07,09_boot,givenchy,shoes,09_boots_sku,black,rubber,,boots
givenchy_fw23_07,09_black,givenchy,shoes,09_black_color,black,rubber,,boots
givenchy_fw23_07,09_rubber,givenchy,shoes,09_rubber_material,black,rubber,,boots
givenchy_fw23_31,04_sweatshirt,givenchy,tops,04_sweatshirt_sku,beige,cotton,oversized,sweatshirt
givenchy_fw23_31,04_beige,givenchy,tops,04_beige_color,beige,cotton,oversized,sweatshirt
givenchy_fw23_31,04_cotton,givenchy,tops,04_cotton_material,beige,cotton,oversized,sweatshirt
givenchy_fw23_31,04_oversized,givenchy,tops,04_oversized_style,beige,cotton,oversized,sweatshirt
givenchy_fw23_31,07_pants,givenchy,bottoms,07_pants_sku,beige,cotton,workwear,pants
givenchy_fw23_31,07_cotton,givenchy,bottoms,07_cotton_material,beige,cotton,workwear,pants
givenchy_fw23_31,07_beige,givenchy,bottoms,07_beige_color,beige,cotton,workwear,pants
givenchy_fw23_31,07_workwear,givenchy,bottoms,07_workwear_style,beige,cotton,workwear,pants
givenchy_fw23_31,05_totebag,givenchy,bags,05_totebag_sku,white,,distressed,totebag
givenchy_fw23_31,05_white,givenchy,bags,05_white_color,white,,distressed,totebag
givenchy_fw23_31,05_distressed,givenchy,bags,05_distressed_style,white,,distressed,totebag
givenchy_fw23_31,09_boot,givenchy,shoes,09_boots_sku,grey,rubber,,boots
givenchy_fw23_31,09_grey,givenchy,shoes,09_grey_color,grey,rubber,,boots
givenchy_fw23_31,09_rubber,givenchy,shoes,09_rubber_material,grey,rubber,,boots
givenchy_fw23_04,04_hoodie,givenchy,tops,04_hoodie_sku,black,cotton,oversized,hoodie
givenchy_fw23_04,04_black,givenchy,tops,04_black_color,black,cotton,oversized,hoodie
givenchy_fw23_04,04_cotton,givenchy,tops,04_cotton_material,black,cotton,oversized,hoodie
givenchy_fw23_04,04_oversized,givenchy,tops,04_oversized_style,black,cotton,oversized,hoodie
givenchy_fw23_04,07_shorts,givenchy,bottoms,07_shorts_sku,black,denim,cargo,shorts
givenchy_fw23_04,07_black,givenchy,bottoms,07_black_color,black,denim,cargo,shorts
givenchy_fw23_04,07_denim,givenchy,bottoms,07_denim_material,black,denim,cargo,shorts
givenchy_fw23_04,07_cargo,givenchy,bottoms,07_cargo_style,black,denim,cargo,shorts
givenchy_fw23_04,07_zippers,givenchy,bottoms,07_zippers_style,black,denim,zippers,shorts
givenchy_fw23_04,09_boot,givenchy,shoes,09_boots_sku,black,rubber,,boots
givenchy_fw23_04,09_black,givenchy,shoes,09_black_color,black,rubber,,boots
givenchy_fw23_04,09_rubber,givenchy,shoes,09_rubber_material,black,rubber,,boots
saint_laurent_fw23_04,09_boot,saint_laurent,shoes,09_boots_sku,black,leather,,boots
saint_laurent_fw23_04,09_leather,saint_laurent,shoes,09_leather_material,black,leather,,boots
saint_laurent_fw23_04,09_black,saint_laurent,shoes,09_black_color,black,leather,,boots
saint_laurent_fw23_04,07_pants,saint_laurent,bottoms,07_pants_sku,black,cotton,,pants
saint_laurent_fw23_04,07_cotton,saint_laurent,bottoms,07_cotton_material,black,cotton,,pants
saint_laurent_fw23_04,04_shirt,saint_laurent,tops,04_shirt_sku,black,silk,,shirt
saint_laurent_fw23_04,02_sunglasses,saint_laurent,eyewear,02_sunglasses_sku,,,,sunglasses
saint_laurent_fw23_04,07_black,saint_laurent,bottoms,07_black_color,black,cotton,,pants
saint_laurent_fw23_04,04_silk,saint_laurent,tops,04_silk_material,black,silk,,shirt
saint_laurent_fw23_04,04_black,saint_laurent,tops,04_black_color,black,silk,,shirt
loewe_fw23_22,4a_coat,loewe,outerwear,4a_coated_style,navy,suede,coated,
loewe_fw23_22,4a_navy,loewe,outerwear,4a_navy_color,navy,suede,coated,
loewe_fw23_22,4a_oversized,loewe,outerwear,4a_oversized_style,navy,suede,oversized,
loewe_fw23_22,4a_suede,loewe,outerwear,4a_suede_material,navy,suede,coated,
loewe_fw23_22,09_boot,loewe,shoes,09_boots_sku,black,leather,,boots
loewe_fw23_22,09_black,loewe,shoes,09_black_color,black,leather,,boots
loewe_fw23_22,09_leather,loewe,shoes,09_leather_material,black,leather,,boots
dior_fw23_19,4a_shearling,dior,outerwear,4a_shearling_material,beige,shearling,coated,
dior_fw23_19,4a_beige,dior,outerwear,4a_beige_color,beige,shearling,coated,
dior_fw23_19,4a_coat,dior,outerwear,4a_coated_style,beige,shearling,coated,
dior_fw23_19,07_shorts,dior,bottoms,07_shorts_sku,beige,linnen,,shorts
dior_fw23_19,07_linnen,dior,bottoms,07_linnen_material,beige,linnen,,shorts
dior_fw23_19,07_beige,dior,bottoms,07_beige_color,beige,linnen,,shorts
dior_fw23_19,09_boot,dior,shoes,09_boots_sku,black,rubber,,boots
dior_fw23_19,09_black,dior,shoes,09_black_color,black,rubber,,boots
dior_fw23_19,09_rubber,dior,shoes,09_rubber_material,black,rubber,,boots
givenchy_fw23_22,4a_windbreaker,givenchy,outerwear,4a_windbreaker_sku,neon,nylon,,windbreaker
givenchy_fw23_22,4a_neon,givenchy,outerwear,4a_neon_color,neon,nylon,,windbreaker
givenchy_fw23_22,4a_nylon,givenchy,outerwear,4a_nylon_material,neon,nylon,,windbreaker
givenchy_fw23_22,4a_windbreaker,givenchy,outerwear,4a_windbreaker_sku,neon,nylon,,windbreaker
givenchy_fw23_22,4a_black,givenchy,outerwear,4a_black_color,black,nylon,,windbreaker
givenchy_fw23_22,4a_nylon,givenchy,outerwear,4a_nylon_material,neon,nylon,,windbreaker
givenchy_fw23_22,07_pants,givenchy,bottoms,07_pants_sku,neon,nylon,cutout,pants
givenchy_fw23_22,07_neon,givenchy,bottoms,07_neon_color,neon,nylon,cutout,pants
givenchy_fw23_22,07_nylon,givenchy,bottoms,07_nylon_material,neon,nylon,cutout,pants
givenchy_fw23_22,07_cutout,givenchy,bottoms,07_cutout_style,neon,nylon,cutout,pants
givenchy_fw23_22,07_parachute,givenchy,bottoms,07_parachute_style,neon,nylon,parachute,pants
givenchy_fw23_22,09_sneaker,givenchy,shoes,09_sneaker_sku,black,leather,,sneaker
givenchy_fw23_22,09_black,givenchy,shoes,09_black_color,black,leather,,sneaker
givenchy_fw23_22,09_leather,givenchy,shoes,09_leather_material,black,leather,,sneaker
